pitcher,player_name,pitch_type,game_year,woba_num,woba_denom,wOBAA,xwOBAA,BB,HBP,singles,doubles,triples,HR,K
527048,"Pérez, Martín",CH,2023,40.2759,126,0.3197,0.296,7,0,24,7,1,2,21
527048,"Pérez, Martín",CH,2024,41.9656,101,0.4155,0.3559,4,0,23,4,0,6,29
527048,"Pérez, Martín",CH,2025,16.9011,68,0.2485,0.2968,5,0,7,1,1,2,16
527048,"Pérez, Martín",FC,2022,41.7551,163,0.2562,0.2813,13,1,26,5,0,2,46
527048,"Pérez, Martín",FC,2023,40.4946,85,0.4764,0.3881,5,0,14,3,0,9,10
527048,"Pérez, Martín",FC,2024,27.2432,73,0.3732,0.3237,6,0,10,4,0,4,22
527048,"Pérez, Martín",FC,2025,21.8547,63,0.3469,0.43,8,2,7,2,0,3,15
527048,"Pérez, Martín",SI,2022,68.2084,245,0.2784,0.3002,30,0,40,9,0,2,46
527048,"Pérez, Martín",SI,2023,60.0978,208,0.2889,0.3412,25,3,27,5,0,6,35
527048,"Pérez, Martín",SI,2024,42.576,134,0.3177,0.3288,13,2,25,4,0,3,16
527048,"Pérez, Martín",SI,2025,18.4083,77,0.2391,0.3502,8,0,7,4,0,1,11
527054,"Teheran, Julio",SI,2023,28.9322,81,0.3572,0.3563,6,1,10,5,0,4,7
541640,"Ramírez, Erasmo",FC,2022,31.161,122,0.2554,0.2525,2,1,16,3,1,4,21
541640,"Ramírez, Erasmo",FC,2023,35.5708,91,0.3909,0.3652,6,1,17,6,1,3,11
541640,"Ramírez, Erasmo",SI,2022,47.9928,119,0.4033,0.3646,8,4,27,6,0,4,13
541640,"Ramírez, Erasmo",SI,2023,35.5018,71,0.5,0.4447,4,1,18,4,0,5,8
542585,"Cisnero, José",FF,2023,23.3101,76,0.3067,0.3177,10,2,5,0,0,5,27
542881,"Anderson, Tyler",CH,2022,41.3391,199,0.2077,0.2284,7,1,23,9,0,2,44
542881,"Anderson, Tyler",CH,2023,42.8452,153,0.28,0.247,6,0,16,12,0,4,42
542881,"Anderson, Tyler",CH,2024,55.4224,234,0.2368,0.2807,23,0,35,4,0,3,56
542881,"Anderson, Tyler",CH,2025,49.7383,176,0.2826,0.2994,15,0,20,7,0,6,51
542881,"Anderson, Tyler",FC,2022,42.3434,158,0.268,0.2644,6,2,20,7,2,3,32
542881,"Anderson, Tyler",FC,2023,32.2843,113,0.2857,0.3218,9,0,15,4,1,3,20
542881,"Anderson, Tyler",FC,2024,33.9875,105,0.3237,0.3039,7,1,15,5,0,4,14
542881,"Anderson, Tyler",FC,2025,34.6882,90,0.3854,0.3445,3,1,14,7,2,3,8
542881,"Anderson, Tyler",FF,2022,60.7405,171,0.3552,0.331,16,3,28,9,2,4,34
542881,"Anderson, Tyler",FF,2023,65.9713,165,0.3998,0.3883,24,3,23,9,1,7,21
542881,"Anderson, Tyler",FF,2024,85.5873,218,0.3926,0.3797,27,2,34,11,3,8,36
542881,"Anderson, Tyler",FF,2025,78.6412,204,0.3855,0.4062,23,1,27,11,0,11,24
542888,"Armstrong, Shawn",FF,2022,18.702,66,0.2834,0.1881,2,0,5,6,0,2,33
542888,"Armstrong, Shawn",FF,2024,26.152,82,0.3189,0.3364,7,0,11,4,0,3,32
542888,"Armstrong, Shawn",SI,2022,27.837,77,0.3615,0.3201,8,2,17,2,0,2,9
542888,"Armstrong, Shawn",SI,2024,31.1842,78,0.3998,0.4047,7,1,22,6,0,0,9
542914,"Bass, Anthony",SI,2022,15.4706,68,0.2275,0.3338,8,0,10,0,0,1,13
542914,"Bass, Anthony",SL,2022,24.7315,100,0.2473,0.2078,2,0,7,6,1,3,39
542947,"Bleier, Richard",SI,2022,35.664,99,0.3602,0.3292,5,0,18,11,0,1,9
543037,"Cole, Gerrit",FF,2022,87.8504,304,0.289,0.2868,29,1,27,15,1,10,105
543037,"Cole, Gerrit",FF,2023,71.0185,264,0.269,0.3043,20,4,35,8,0,7,69
543037,"Cole, Gerrit",FF,2024,32.2223,119,0.2708,0.2561,12,3,12,3,1,3,41
543037,"Cole, Gerrit",KC,2023,11.8534,60,0.1976,0.2071,1,0,9,1,0,1,15
543037,"Cole, Gerrit",SL,2022,35.9744,153,0.2351,0.2439,4,0,19,2,0,6,55
543037,"Cole, Gerrit",SL,2023,17.1835,97,0.1771,0.248,3,1,10,3,0,1,35
543056,"Coulombe, Danny",FC,2023,19.1418,72,0.2659,0.2706,5,0,15,1,0,1,20
543101,"DeSclafani, Anthony",SI,2023,38.1276,103,0.3702,0.3832,6,3,15,6,0,5,21
543101,"DeSclafani, Anthony",SL,2023,53.0465,157,0.3379,0.3347,9,0,21,12,1,5,32
543135,"Eovaldi, Nathan",FC,2023,31.88,94,0.3391,0.3807,13,1,11,4,1,3,9
543135,"Eovaldi, Nathan",FC,2024,38.0142,84,0.4526,0.3576,2,0,11,8,1,6,13
543135,"Eovaldi, Nathan",FC,2025,11.0459,70,0.1578,0.2318,2,0,8,1,1,0,19
543135,"Eovaldi, Nathan",FF,2022,48.5438,117,0.4149,0.4151,6,0,23,6,0,7,18
543135,"Eovaldi, Nathan",FF,2023,73.2423,221,0.3314,0.3432,21,3,26,11,3,7,55
543135,"Eovaldi, Nathan",FF,2024,59.9615,225,0.2665,0.3002,22,1,33,3,0,6,53
543135,"Eovaldi, Nathan",FF,2025,29.4627,101,0.2917,0.331,4,2,17,5,0,2,16
543135,"Eovaldi, Nathan",FS,2022,12.255,64,0.1915,0.2249,3,0,11,1,0,0,20
543135,"Eovaldi, Nathan",FS,2023,38.971,160,0.2436,0.2433,7,2,17,9,0,3,42
543135,"Eovaldi, Nathan",FS,2024,35.2387,161,0.2189,0.2486,7,0,20,7,0,2,47
543135,"Eovaldi, Nathan",FS,2025,25.106,137,0.1833,0.2561,8,1,14,6,0,0,43
543243,"Gray, Sonny",CU,2022,18.6518,77,0.2422,0.3184,3,1,11,2,1,1,21
543243,"Gray, Sonny",CU,2023,22.9338,77,0.2978,0.3046,5,0,13,5,0,1,13
543243,"Gray, Sonny",CU,2025,21.8147,78,0.2797,0.3213,4,0,9,2,1,3,21
543243,"Gray, Sonny",FC,2024,32.0214,83,0.3858,0.3785,8,0,13,4,2,3,7
543243,"Gray, Sonny",FF,2022,33.7646,108,0.3126,0.3174,8,1,21,3,1,2,9
543243,"Gray, Sonny",FF,2023,40.3272,134,0.3009,0.3521,15,0,29,2,0,2,12
543243,"Gray, Sonny",FF,2024,48.5841,108,0.4499,0.4205,10,0,23,5,1,6,9
543243,"Gray, Sonny",FF,2025,44.9639,110,0.4088,0.4253,11,0,23,7,0,4,5
543243,"Gray, Sonny",SI,2022,48.68,158,0.3081,0.3056,16,3,18,4,1,6,47
543243,"Gray, Sonny",SI,2023,33.7134,93,0.3625,0.3832,15,2,14,4,1,2,15
543243,"Gray, Sonny",SI,2024,36.2241,125,0.2898,0.286,8,1,11,5,0,6,46
543243,"Gray, Sonny",SI,2025,46.3272,131,0.3536,0.3174,9,1,21,6,0,6,39
543243,"Gray, Sonny",ST,2023,14.584,137,0.1065,0.1436,4,2,10,2,0,0,70
543243,"Gray, Sonny",ST,2024,27.1632,168,0.1617,0.1721,4,2,16,2,0,3,102
543243,"Gray, Sonny",ST,2025,27.9209,158,0.1767,0.1976,2,1,17,2,1,3,77
543272,"Hand, Brad",ST,2022,18.8966,73,0.2589,0.259,5,2,8,4,0,1,20
