pitcher,player_name,pitch_type,game_year,num_pitches,xgb_stuff_plus,lgb_stuff_plus,avg_release_speed,avg_hb,avg_ivb,avg_spin,avg_rv,avg_spin_efficiency,avg_ax,avg_az,avg_ay,avg_vx0,avg_vy0,avg_vz0,xgb_pred_rv,lgb_pred_rv
425794,"Wainwright, Adam",CU,2022,764,105.84241,105.99280104712042,72.8988219895288,-15.95497382198953,-14.858324607329843,2765.726439790576,-0.008447687721756468,21.871656336278846,9.862224191792576,-41.78281591081937,21.69982607932977,0.05610955693402823,-106.0259713234799,0.77002563009222,-0.011324273,-0.011582843238070918
425794,"Wainwright, Adam",CU,2023,473,103.769135,103.15306553911205,71.51120507399578,-16.606680761099366,-13.369725158562368,2641.3446088794926,-0.001895141797710937,21.52465430253137,9.850713332553308,-40.5846055228869,20.90296916319684,0.2150829282688046,-103.99017124587802,1.0206892935258405,-0.0070792856,-0.005841966399990692
425794,"Wainwright, Adam",FC,2022,632,93.00633,93.69588607594937,84.26028481012658,-6.2193037974683545,6.1051898734177215,2406.5601265822784,0.0016680946066417535,9.257648767257578,4.703318804905346,-26.39649538903669,22.363579181182455,3.045110754162597,-122.72997397715858,-4.078947230432736,0.010552038,0.009129493268589708
425794,"Wainwright, Adam",SI,2022,705,93.90695,94.95205673758865,88.54780141843972,13.079829787234043,12.164425531914894,2196.4297872340426,-0.0001077286268919838,17.99805909965481,-13.122552036497382,-19.918160802555597,26.546852697396695,4.786471814594671,-128.79507599045476,-5.52731516310418,0.011540015,0.009133305161767242
425794,"Wainwright, Adam",SI,2023,493,91.06207,91.55456389452333,86.8523326572008,13.338742393509127,11.215010141987829,2165.815415821501,0.0356060530326387,17.61890050148106,-12.9468438577336,-21.350591125282403,25.478689566072294,5.138049502672051,-126.32723835782963,-4.901608145653845,0.01685492,0.015308250971894949
425844,"Greinke, Zack",FF,2022,542,92.11476,91.99557195571956,89.0309963099631,1.6605166051660516,15.771365313653137,2289.752767527675,0.00112208363549082,16.12622276574239,-2.4594314685140257,-16.350055099766454,25.123004923821167,4.500941199440475,-129.5592446476243,-5.768203312161504,0.01471619,0.014516719499062953
434378,"Verlander, Justin",FF,2022,950,103.24811,103.52042105263158,95.08726315789472,9.378694736842105,18.97882105263158,2422.8547368421055,-0.01639118562088317,21.2657276756791,-11.294919381662657,-10.325438829455893,32.35318332162505,5.684600925038554,-138.13090556031915,-7.988124030260403,-0.006652432,-0.006985139192026614
434378,"Verlander, Justin",FF,2023,947,98.21426,98.89039070749736,94.25744456177402,7.930644139387539,18.859640971488915,2427.193241816262,-0.006560623564231087,20.568602753481034,-9.46863389398104,-10.77415565714214,31.42963807005587,5.147290621189465,-136.9380926463563,-8.195717129705988,0.0029053446,0.0015738125491565286
434378,"Verlander, Justin",FF,2024,664,95.009186,96.05,93.44397590361446,8.581626506024095,19.21210843373494,2390.7213855421687,0.024679550979699018,21.1503979301994,-10.02792640084376,-10.716421271068373,31.02876572198095,5.350216378296132,-135.7234472697512,-8.432520548663692,0.008936749,0.006791521426838701
434378,"Verlander, Justin",FF,2025,780,96.85346,97.98794871794873,94.11,8.738307692307693,18.632615384615384,2438.1717948717946,0.005664832102515395,20.685277178301426,-10.456888566017632,-11.035612011110063,31.21297418152885,5.952446326400672,-136.68100274761295,-8.34209026683103,0.005541807,0.0033164820405841575
434378,"Verlander, Justin",SL,2022,525,105.90933,105.95580952380953,87.47904761904762,-4.032228571428572,4.760457142857143,2470.4209523809523,-0.023935357408130246,6.6934690536574,2.6616730699911897,-26.69491902601631,25.891524490146885,4.865657444449114,-127.22381071177793,-6.555500419157856,-0.011831723,-0.011552278057563483
434378,"Verlander, Justin",SL,2023,476,105.80294,105.69348739495798,86.88823529411765,-4.840084033613445,3.6605042016806726,2507.6071428571427,-0.014828444267958337,6.685481392360509,3.497121555151585,-27.780723324408644,24.91610425898074,4.1843887203985926,-126.41723260637814,-6.431125927862608,-0.011578089,-0.010990184631849465
445276,"Jansen, Kenley",FC,2022,437,99.89016,99.96956521739129,92.2183066361556,-8.33299771167048,16.457848970251717,2563.471395881007,-0.015030845694641618,18.58840082282254,8.021532791011037,-14.221389715256377,28.749495615057466,1.6678033213571601,-134.15720728170953,-7.308066026673539,-0.00030348534,-0.0004084895377213242
445276,"Jansen, Kenley",FC,2023,426,104.46385,103.98239436619718,94.28403755868544,-1.6707042253521127,18.072957746478874,2626.5586854460093,-0.005080516331188028,18.368295410243658,0.43846630746770016,-11.837675182891324,30.229319474704603,5.96414873835515,-137.0573300195511,-6.871577521894261,-0.0077173044,-0.006665533906829444
445276,"Jansen, Kenley",FC,2025,467,97.80021,98.78608137044968,92.5882226980728,-2.5241113490364024,18.757259100642397,2588.9164882226983,-0.020141454631376444,19.081048337022647,1.4275417114524205,-11.839762494175584,30.401866375670043,4.8910073060776185,-134.5848392096743,-7.0151816739206385,0.0031110742,0.0015116829985129905
445926,"Chavez, Jesse",FC,2022,489,92.26462,91.52883435582822,89.00490797546013,1.9742331288343558,12.782085889570551,2219.564417177914,-0.0062325163980609145,13.158666273576005,-2.8970830433408254,-19.852967873000164,25.503123212937645,5.1808885067169035,-129.59005801102188,-2.3324736860458204,0.0117225405,0.012422444026158197
445926,"Chavez, Jesse",FC,2024,440,91.55045,91.17977272727272,88.81886363636364,1.7615454545454547,12.360818181818182,2203.3886363636366,-0.005585942265775233,12.753654202004121,-2.642315416824684,-20.21510398110446,25.21997508018078,4.9400047628650565,-129.32506796128177,-2.7037561999772306,0.013265656,0.013350053951866973
446372,"Kluber, Corey",CU,2022,437,102.46041,102.58535469107552,80.84393592677347,-16.12146453089245,1.362013729977117,2519.2883295194506,-0.004297204982109253,16.546596874089172,11.807159529079257,-31.084246414464925,23.97426329337864,2.8755371132320513,-117.68157506404806,-1.1784626702466154,-0.004500787,-0.004741590116878596
446372,"Kluber, Corey",FC,2022,559,95.88569,96.00769230769231,86.35581395348838,-2.8128085867620753,8.330447227191414,2455.901610017889,-0.004634230713040492,9.145376608509226,1.442199335781454,-24.625426802007148,24.255459146623007,5.3827067423576365,-125.72307531189654,-1.718940431853416,0.0060127107,0.005610647837462001
446372,"Kluber, Corey",SI,2022,433,95.55497,96.35842956120092,88.82448036951502,16.17782909930716,8.65690531177829,2070.8706697459584,0.013063761521454118,18.503781178520462,-16.56661559542106,-23.912653312250995,27.44046814164676,7.072956095129543,-129.14641104217,-1.9128774490932472,0.008256712,0.006429641960584895
